squareMeters,rooms,latitude,longitude,centreDistance,poiCount,price,date,hasParkingSpace_no,hasParkingSpace_yes,hasBalcony_no,hasBalcony_yes,hasBalcony_no,hasBalcony_yes,hasBalcony_no,hasBalcony_yes,hasSecurity_no,hasSecurity_yes,hasStorageRoom_no,hasStorageRoom_yes
71.0,3.0,52.2549670288597,20.9787682518334,3.09,25.0,10000,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
40.0,2.0,52.1831591812265,20.9766094706549,5.7,6.0,2900,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
125.0,5.0,52.1384725448767,21.064805976273,11.18,23.0,12000,November 2023,0,1,0,1,0,1,0,1,0,1,0,1
65.0,2.0,52.1604842315239,21.0668906685924,9.02,21.0,3600,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
88.0,3.0,52.1601553846545,21.079003048811,9.47,27.0,7500,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
62.5,3.0,52.2271373865969,20.885804706237,8.04,5.0,4500,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
62.0,3.0,52.2732959153936,20.9839795751249,4.81,21.0,5200,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
40.0,2.0,52.309493581703,21.05930575881,9.44,4.0,2500,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
65.0,3.0,52.1464975,21.06360315,10.32,11.0,3900,November 2023,0,1,0,1,0,1,0,1,1,0,0,1
146.38,6.0,52.2036645,20.9957289,3.16,18.0,16000,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
41.5,2.0,52.2261486,21.013761,0.93,126.0,3900,November 2023,1,0,0,1,0,1,0,1,1,0,0,1
93.4,3.0,52.2299159,21.0262482,1.56,35.0,14500,November 2023,0,1,0,1,0,1,0,1,0,1,0,1
62.0,3.0,52.20387,21.04145,4.03,24.0,8000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
57.0,2.0,52.14327647,21.05307889,10.4,33.0,4800,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
58.0,2.0,52.19021885,20.9884894,4.73,17.0,2900,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
70.0,4.0,52.22872649,20.91632439,5.95,19.0,4000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
70.0,3.0,52.237499,20.998178,0.74,69.0,4800,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
81.2,3.0,52.2435629,20.9635823,3.02,19.0,5600,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
48.0,2.0,52.2543689,20.9892146,2.7,67.0,3500,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
37.0,2.0,52.1906794,21.0152987,4.63,23.0,2800,November 2023,1,0,1,0,1,0,1,0,1,0,0,1
47.0,2.0,52.25517,20.97883,3.1,23.0,4500,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
73.34,3.0,52.2225687,21.0211332,1.57,69.0,9900,November 2023,0,1,1,0,1,0,1,0,1,0,0,1
41.0,2.0,52.1823572,20.9936573,5.53,18.0,4600,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
130.0,4.0,52.186962,21.021859,5.13,19.0,7800,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
95.9,3.0,52.2708,20.9812,4.61,44.0,7500,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
70.0,3.0,52.20742,21.02106,2.95,35.0,4500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
